Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,,,,,,,,,,,,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y,,,,,,,,,,,,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,TH,Actor,Y,,,,,,,,,,,,,,,
6/26/25,Bella,A,9:29 AM,AM,3,AM,2,CH,actor,Y,,,,,,,,,,,,,,,
6/27/25,Kamryn,A,10:29,AM,3,AM-Eye,3,TH,Recipient,N,,,,,,,,,,,,,,,
6/30/25,Bella,A,11:03 AM,AM-Eye,3,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
7/1/25,Bella,A,8:29 AM,AM,3,AM,3,TH,actor,N,,,,,,,,,,,,,,,
7/1/25,Bella,A,8:20 AM,AM,3,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
7/4/25,Anita,A,10:23,AM,3,AM-eye,3,CH,Actor,Y,,,,,,,,,,,,,,,
7/4/25,Casey,A,10:21,AM,3,AM-eye,3,FT,Actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,8:01 AM,AM5,3,AM,3,CH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,8:07 AM,AM5,3,AM,3,CH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,9:47 AM,AM5,3,AM,3,CH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,9:41 AM,AM,3,AM5,3,CH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,8:01 AM,AM5,3,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,8:02 AM,AM5,3,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,9:32 AM,AM8,2,AM,3,TH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,7:37 AM,AM,3,AM3,2,TH,actor,Y,,,,,,,,,,,,,,,
7/7/25,Bella,A,10:12 AM,AM-Eye and AM,3 and 3,AM5,3,TH,actor,N,,,,,,,,,,,,,,,
7/8/25,Anita,A,9:00,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/8/25,Anita,A,10:38,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/9/25,Casey,A,10:16,AM7,3,AM8,2,FT,Recipient,Y,,,,,,,,,,,,,,,
7/9/25,Casey,A,9:43,AM,3,AM5,3,TH,Actor,Y,,,,,,,,,,,,,,,
7/10/25,Kamryn,A,10:51,AM5,3,AM,2,TH,ACTOR,Y,,,,,,,,,,,,,,,
7/11/25,Anita,B,10:50,AM6 and AM1,3,AM9,2,CH,Actor,Y,,,,,,,,,,,,,,,
7/14/25,Casey,B,10:16,AM5,3,AM,2,CH,Actor,N,,,,,,,,,,,,,,,
7/18/25,Casey,A,10:28,AM,2,AM5 and AM8,3 and 2,TH,Recipients,N,,,,,,,,,,,,,,,
7/21/25,Bella,A,11:55 AM,AM,3,AM3,2,CH,actor,Y,,,,,,,,,,,,,,,
7/21/25,Bella,A,9:57 AM,AM and AM,3 and 2,AM5,3,CH,actor,Y,,,,,,,,,,,,,,,
7/21/25,Bella,A,12:05 AM,AM5,3,AM8,2,DP,actor,Y,,,,,,,,,,,,,,,
7/21/25,Bella,A,9:57 AM,AM5,3,AM and AM,3 and 2,TH,recipient,Y,,,,,,,,,,,,,,,
7/21/25,Anita,A,9:42,AM,3 and 2,AM5,3,TH,Recipient,Y,,,,,,,,,,,,,,,
7/21/25,Bella,A,9:57 AM,AM and AM,3 and 2,AM5,3,TH,actor,Y,,,,,,,,,,,,,,,
7/21/25,Bella,A,12:05 AM,AM8,2,AM5,3,TH,recipient,Y,,,,,,,,,,,,,,,
7/22/25,Kamryn,A,8:30,AM5,3,AM,1,CH,ACTOR,N,,,,,,,,,,,,,,,
7/22/25,Casey,A,8:33,AM5,3,Damaged AM,1,CH,Actor,N,,,,,,,,,,,,,,,
7/22/25,Kamryn,A,8:30,AM5,3,AM,1,FT,ACTOR,N,,,,,,,,,,,,,,,
7/22/25,Casey,A,8:32,AM5,3,Damaged AM,1,TH,Actor,N,,,,,,,,,,,,,,,
7/23/25,Casey,B,8:10,AM1 and AM9,3 and 2,AM,3,CH,Actor,N,,,,,,,,,,,,,,,
7/24/25,Casey,A,8:16,AM5,3,AM,2,CH,Actor,N,,,,,,,,,,,,,,,
7/24/25,Bella,A,8:14 AM,AM,3,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
7/28/25,Kamryn,B,8:32,AM9,2,AM,2,CH,ACTOR,N,,,,,,,,,,,,,,,
7/28/25,Bella,B,8:25 AM,AM,1,AM,3,TH,recipient,Y,,,,,,,,,,,,,,,
7/29/25,Bella,B,8:32 AM,AM9,2,AM,2,CH,actor,Y,,,,,,,,,,,,,,,
7/29/25,Kamryn,B,8:43,AM9,2,AM6,3,CH,ACTOR,Y,,,,,,,,,,,,,,,
7/29/25,Kamryn,B,8:43,AM9,2,AM6,3,TH,ACTOR,Y,,,,,,,,,,,,,,,
7/29/25,Casey,B,8:30,AM,2,AM9,2,TH,Actor,N,,,,,,,,,,,,,,,
7/31/25,Bella,A,9:53 AM,AM,1,AM,3,CH,actor,Y,,,,,,,,,,,,,,,
7/31/25,Bella,A,9:56 AM,AM,1,AM,3,TH,actor,N,,,,,,,,,,,,,,,
7/31/25,Bella,A,9:53 AM,AM,3,AM,1,TH,recipient,Y,,,,,,,,,,,,,,,
7/31/25,Bella,A,8:40 AM,AM7,3,AM,2,TH,actor,Y,,,,,,,,,,,,,,,
7/31/25,Bella,A,9:30 AM,AM,3,AM7,3,TH,actor,Y,,,,,,,,,,,,,,,
8/4/25,Casey,B,10:04,AM,3,AM,2,CH,Actor,Y,,,,,,,,,,,,,,,
8/4/25,Kamryn,A,8:33,AM,1,AM,2,TH,RECIPIENT ,N,,,,,,,,,,,,,,,
8/4/25,Kamryn,A,8:51,AM5,3,AM,1,TH,ACTOR,Y,,,,,,,,,,,,,,,
8/4/25,Bella,B,8:30 AM,AM1,3,AM9,2,TH,actor,Y,,,,,,,,,,,,,,,
8/6/25,Bella,A,11:20 AM,AM,3,AM,2,AT,actor,Y,,,,,,,,,,,,,,,
