id,latitude,longitude,scientific_name,common_name
225024761,34.5077883398,-118.758605,Lynx rufus,Bobcat
225730261,34.3771304005,-119.4159132879,Lynx rufus,Bobcat
236344744,34.46138,-119.190925,Lynx rufus,Bobcat
238355718,34.4580296161,-118.8512174563,Lynx rufus,Bobcat
240244751,34.2315837837,-119.5708107771,Lynx rufus,Bobcat
240366946,34.3881880613,-119.2821893341,Lynx rufus,Bobcat
241530520,34.2002575073,-118.9012706298,Lynx rufus,Bobcat
243175105,34.30127,-118.8923866667,Lynx rufus,Bobcat
244231766,34.303495,-118.7057716667,Lynx rufus,Bobcat
250606082,34.7043905,-119.3900419997,Lynx rufus,Bobcat
256858138,34.75460204,-119.2350005622,Lynx rufus,Bobcat
257301525,34.3858773583,-119.0024216694,Lynx rufus,Bobcat
258331209,34.6863509441,-119.3746289309,Lynx rufus,Bobcat
258335823,34.6885120885,-119.3591154343,Lynx rufus,Bobcat
258357286,34.18247,-118.7489166667,Lynx rufus fasciatus,Western Bobcat
262204611,34.3510855,-119.3040074,Lynx rufus,Bobcat
262204613,34.3510855,-119.3040074,Lynx rufus,Bobcat
262204616,34.3510855,-119.3040074,Lynx rufus,Bobcat
262732499,34.3510855,-119.3040074,Lynx rufus,Bobcat
262732513,34.3510855,-119.3040074,Lynx rufus,Bobcat
262732515,34.3510855,-119.3040074,Lynx rufus,Bobcat
262878372,34.3973448902,-119.2635303637,Lynx rufus fasciatus,Western Bobcat
