Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Lina Matera,Redlands,La Verne Invitational,2:02.51,R,https://www.swimcloud.com/results/321222/event/23/?id=137407691#time137407691,200 Free,34,NA
Mollie Appl,Pomona-Pitzer,Concordia v Pomona-Pitzer,2:02.68,NA,https://www.swimcloud.com/results/318660/event/5/?id=134703021#time134703021,200 Free,–,NA
Francesca Coppo,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,2:03.36,R,https://www.swimcloud.com/results/333169/event/25/?id=144029634#time144029634,200 Free,12,NA
Piper Guinn,Whittier,SCIAC Championships,2:03.36,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860643#time146860643,200 Free,–,NA
Amaia Sherman,Pomona-Pitzer,La Verne Invitational,2:04.01,R,https://www.swimcloud.com/results/321222/event/23/?id=137407682#time137407682,200 Free,NA,642
Abby Sellman,Chapman,Chapman vs. University of San Diego,2:04.08,NA,https://www.swimcloud.com/results/323855/event/5/?id=138296898#time138296898,200 Free,NA,640
Caitlin Kuhlmann,C-M-S,Caltech vs. C-M-S,2:04.14,NA,https://www.swimcloud.com/results/314105/event/7/?id=136111898#time136111898,200 Free,1,NA
Kara Johnson,California Lutheran,SCIAC Championships,2:04.20,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860587#time146860587,200 Free,NA,636
Andrea Brenstrom,Redlands,La Verne Invitational,2:04.25,NA,https://www.swimcloud.com/results/321222/event/17/?id=137407382#time137407382,200 Free,NA,634
Karen Zhou,Caltech,Caltech vs. C-M-S,2:04.42,NA,https://www.swimcloud.com/results/314105/event/7/?id=136111896#time136111896,200 Free,NA,634
Eleanor McElwee,Chapman,Chapman vs. Mt. San Antonio College,2:04.51,NA,https://www.swimcloud.com/results/316589/event/3/?id=133879627#time133879627,200 Free,NA,634
Ana-Adela Duran,Redlands,SCIAC Championships,2:04.86,R,https://www.swimcloud.com/results/310385/event/4/?id=146862142#time146862142,200 Free,10,NA
Beatrice Cai,Caltech,Occidental vs. Caltech,2:05.14,NA,https://www.swimcloud.com/results/319245/event/9/?id=135123985#time135123985,200 Free,NA,623
Sienna Bone,C-M-S,CMS vs. Occidental,2:05.30,NA,https://www.swimcloud.com/results/328613/event/5/?id=141689566#time141689566,200 Free,–,NA
Florence Lo,Occidental,Redlands vs. Whittier vs. Occidental,2:05.73,NA,https://www.swimcloud.com/results/332075/event/5/?id=144956554#time144956554,200 Free,NA,NA
Anna Werts,C-M-S,Whittier vs. C-M-S vs. Chapman,2:05.78,NA,https://www.swimcloud.com/results/318057/event/5/?id=135174122#time135174122,200 Free,1,NA
Mati Dixon,Chapman,Whittier vs. C-M-S vs. Chapman,2:05.80,NA,https://www.swimcloud.com/results/318057/event/5/?id=135174116#time135174116,200 Free,28,NA
Julia Benko,California Lutheran,Rodionoff Invite,2:05.96,NA,https://www.swimcloud.com/results/314508/event/21/?id=133086199#time133086199,200 Free,–,NA
Maia Ciccarello,California Lutheran,Chapman vs. California Lutheran,2:06.82,NA,https://www.swimcloud.com/results/333909/event/5/?id=145364347#time145364347,200 Free,NA,613
Clara Yu,Caltech,Occidental Invite,2:06.93,NA,https://www.swimcloud.com/results/321956/event/13/?id=137230314#time137230314,200 Free,NA,611
Lily Florez,La Verne,La Verne Invitational,2:08.13,R,https://www.swimcloud.com/results/321222/event/23/?id=137407690#time137407690,200 Free,14,NA
CJ Smith,Chapman,Chapman vs. La Verne,2:08.57,NA,https://www.swimcloud.com/results/328137/event/5/?id=141731059#time141731059,200 Free,24,NA
Abby Springer,Redlands,Pomona-Pitzer vs. Redlands,2:09.63,NA,https://www.swimcloud.com/results/328926/event/7/?id=142344120#time142344120,200 Free,–,NA
Diya Kumar,Caltech,SCIAC Championships,2:09.79,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860590#time146860590,200 Free,NA,591
Hanna Hrstic,Chapman,Chapman vs. Mt. San Antonio College,2:11.30,NA,https://www.swimcloud.com/results/316589/event/3/?id=133879625#time133879625,200 Free,1,NA
Bella Cabral,Whittier,La Verne Invitational,2:11.38,NA,https://www.swimcloud.com/results/321222/event/17/?id=137407403#time137407403,200 Free,NA,589
Ellie Wang,Caltech,Whittier vs. Caltech,2:11.47,NA,https://www.swimcloud.com/results/328848/event/5/?id=144199160#time144199160,200 Free,32,NA
Mackenzie Neese,Redlands,La Verne Invitational,2:11.65,R,https://www.swimcloud.com/results/321222/event/23/?id=137407692#time137407692,200 Free,NA,586
Melissa Brill,California Lutheran,SCIAC Championships,2:11.79,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860584#time146860584,200 Free,–,NA
KK Greer,La Verne,Cal Lu & LaVerne at CMS,2:12.94,NA,https://www.swimcloud.com/results/330051/event/5/?id=142391381#time142391381,200 Free,–,NA
Sara Dawidian,La Verne,Caltech vs. La Verne,2:13.16,R,https://www.swimcloud.com/results/314107/event/29/?id=144736181#time144736181,200 Free,NA,583
Harper Tarros,Redlands,SCIAC Championships,2:13.78,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860640#time146860640,200 Free,26,NA
Dania NOUR,California Lutheran,Rodionoff Invite,2:14.76,NA,https://www.swimcloud.com/results/314508/event/21/?id=133086203#time133086203,200 Free,20,NA
Taylor Stute,La Verne,La Verne Invitational,2:15.26,NA,https://www.swimcloud.com/results/321222/event/17/?id=137407381#time137407381,200 Free,17,NA
Madii Greer,Redlands,SCIAC Championships,2:17.26,NA,https://www.swimcloud.com/results/310385/event/20/?id=146860638#time146860638,200 Free,16,NA
Grace Davis,Caltech,Caltech vs. La Verne,2:20.91,R,https://www.swimcloud.com/results/314107/event/29/?id=144736179#time144736179,200 Free,15,NA
Ashlyn Walters,Chapman,Chapman vs. La Verne,2:21.03,NA,https://www.swimcloud.com/results/328137/event/5/?id=141731061#time141731061,200 Free,4,NA
Allie Haluska,Whittier,La Verne Invitational,2:23.24,NA,https://www.swimcloud.com/results/321222/event/17/?id=137407406#time137407406,200 Free,NA,707
Katy Shaw,C-M-S,SCIAC Championships,4:58.89,D3 B,https://www.swimcloud.com/results/310385/event/7/?id=146860553#time146860553,500 Free,20,NA
Abby Raclaw,Pomona-Pitzer,SCIAC Championships,5:01.52,NA,https://www.swimcloud.com/results/310385/event/7/?id=146860568#time146860568,500 Free,17,NA
Avalon Sanders,C-M-S,CMS vs. Pomona-Pitzer,5:01.60,NA,https://www.swimcloud.com/results/324574/event/3/?id=138342163#time138342163,500 Free,16,NA
Charlotte Dixon,Pomona-Pitzer,CMS vs. Pomona-Pitzer,5:02.34,NA,https://www.swimcloud.com/results/324574/event/3/?id=138341999#time138341999,500 Free,15,NA
Maren Rusk,Pomona-Pitzer,SCIAC Championships,5:03.01,NA,https://www.swimcloud.com/results/310385/event/7/?id=146860570#time146860570,500 Free,4,NA
Corley Smith,C-M-S,CMS vs. Pomona-Pitzer,5:03.15,NA,https://www.swimcloud.com/results/324574/event/3/?id=138342160#time138342160,500 Free,NA,707
Allison Nguyen,C-M-S,SCIAC Championships,5:03.69,NA,https://www.swimcloud.com/results/310385/event/7/?id=146860549#time146860549,500 Free,13,NA
Naomi Locala,Pomona-Pitzer,SCIAC Championships,5:04.79,NA,https://www.swimcloud.com/results/310385/event/7/?id=146860566#time146860566,500 Free,12,NA
Grace Tuhabonye,Caltech,Occidental Invite,5:06.13,NA,https://www.swimcloud.com/results/321956/event/5/?id=137230299#time137230299,500 Free,9,NA
Kendall Moffitt,California Lutheran,SCIAC Championships,5:06.82,NA,https://www.swimcloud.com/results/310385/event/7/?id=146860530#time146860530,500 Free,34,NA
Kathryn Bennett Jones,Pomona-Pitzer,CMS vs. Pomona-Pitzer,5:07.23,NA,https://www.swimcloud.com/results/324574/event/3/?id=138341993#time138341993,500 Free,NA,681
